"Flippo  Ronnie G.",390,14419,NA
"Florio  James J.",392,14223,NA
"Foglietta  Thomas M.",395,14823,NA
"Foley  Thomas S.",397,10726,NA
"Ford  Harold E.",400,14224,NA
"Ford  William D.",401,10727,NA
"Forsythe  Edwin B.",402,12046,NA
"Fountain  L. H.",403,3321,NA
"Fowler  Wyche  Jr.",405,14467,NA
"Frank  Barney",407,14824,NA
"Frenzel  Bill",415,13015,NA
"Frost  Martin",419,14626,NA
"Fuqua  Don",422,10587,NA
"Garcia  Robert",429,14470,NA
"Gaydos  Joseph M.",430,11067,NA
"Gejdenson  Sam",431,14825,NA
"Gephardt  Richard A.",433,14421,NA
"Gibbons  Sam",437,10588,NA
"Gilman  Benjamin A.",440,14015,NA
"Gingrich  Newt",441,14627,NA
"Ginn  Bo",442,14016,NA
"Glickman  Dan",443,14422,NA
"Goldwater  Barry  Jr.",444,12037,NA
"Gonzalez  Henry B.",445,10520,NA
"Goodling  William F.",447,14288,NA
"Gore  Albert  Jr.",449,14423,NA
"Gradison  Willis D.  Jr.",451,14225,NA
"Gramm  Phil",453,94628,NA
"Gray  William H.  III",460,14629,NA
"Green  S. William",463,14471,NA
"Gregg  Judd",466,14826,NA
"Grisham  Wayne R.",468,14630,NA
"Guarini  Frank J.",472,14631,NA
"Gunderson  Steve",476,14827,NA
"Guyer  Tennyson",480,14018,NA
"Hagedorn  Thomas M.",481,14227,NA
"Hall  Katie B.",483,14880,NA
"Hall  Ralph M.",484,14828,NA
"Hall  Sam B.  Jr.",485,14291,NA
"Hall  Tony P.",487,14632,NA
"Hamilton  Lee H.",489,10732,NA
"Hammerschmidt  John P.",490,11020,NA
"Hance  Kent R.",491,14633,NA
"Hansen  George V.",497,10734,NA
"Hansen  James V.",498,14829,NA
"Harkin  Tom",501,14230,NA
"Hartnett  Thomas F.",508,14830,NA
"Hatcher  Charles",514,14831,NA
"Hawkins  Augustus F.",515,10595,NA
"Heckler  Margaret M.",523,11021,NA
"Hefner  W. G. (Bill)",525,14233,NA
"Heftel  Cecil",526,14425,NA
"Hendon  Bill",531,14832,NA
"Hertel  Dennis M.",534,14833,NA
"Hightower  Jack E.",536,14234,NA
"Hiler  John Patrick",537,14834,NA
"Hillis  Elwood H.",540,13018,NA
"Hinson  Jon C.",543,14634,NA
"Holland  Kenneth L.",552,14235,NA
