"Abercrombie  Neil",2,15245
"Acevedo-Vila  Anibal",1679,NA1
"Ackerman  Gary L.",4,15000
"Aderholt  Robert B.",1460,29701
"Akin  W. Todd",1655,20123
"Alexander  Rodney",1727,20327
"Allen  Thomas H.",1461,29728
"Andrews  Robert E.",21,29132
"Baca  Joe",1614,29942
"Bachus  Spencer",38,29301
"Baird  Brian",1557,29938
"Baker  Richard H.",47,15401
"Baldwin  Tammy",1558,29940
"Ballance  Frank W.   Jr.",1734,20339
"Ballenger  Cass",50,15402
"Barrett  J. Gresham",1745,20347
"Bartlett  Roscoe G.",60,29356
"Barton  Joe",62,15085
"Bass  Charles F.",63,29538
"Beauprez  Bob",1712,20312
"Becerra  Xavier",70,29316
"Bell  Chris",1750,20354
"Bereuter  Doug",80,14605
"Berkley  Shelley",1576,29922
"Berman  Howard L.",82,15005
"Berry  Marion",1462,29702
"Biggert  Judy",1577,29912
"Bilirakis  Michael",89,15006
"Bishop  Rob",1753,20357
"Bishop  Sanford D.  Jr.",91,29339
"Bishop  Timothy H.",1740,20338
"Blackburn  Marsha",1748,20351
"Blumenauer  Earl",99,29588
"Blunt  Roy",1464,29735
"Boehlert  Sherwood",101,15007
"Boehner  John A.",102,29137
"Bonilla  Henry",107,39302
"Bonner  Jo",1703,20300
"Bono  Mary",1465,29775
"Boozman  John",1687,20101
"Bordallo  Madeleine Z.",1723,NA2
"Boswell  Leonard L.",1466,29721
"Boucher  Rick",113,15010
"Boyd  Allen",1467,29713
"Bradley  Jeb",1736,20335
"Brady  Kevin",1468,29760
"Brady  Robert A.",1469,29777
"Brown  Corrine",132,29328
"Brown  Henry E.  Jr.",1669,20137
"Brown  Sherrod",136,29389
"Brown-Waite  Ginny",1713,20313
"Burgess  Michael C.",1751,20355
"Burns  Max",1721,20320
"Burr  Richard",153,29548
"Burton  Dan",154,15014
"Butterfield  G. K.",1761,20340
"Buyer  Steve",160,29350
"Calvert  Ken",165,29323
"Camp  Dave",166,29124
"Cannon  Chris",1470,29766
"Cantor  Eric",1674,20144
"Capito  Shelley Moore",1676,20146
"Capps  Lois",1471,29774
"Capuano  Michael E.",1564,29919
"Cardin  Benjamin L.",174,15408
"Cardoza  Dennis A.",1709,20306
"Carson  Brad",1665,20132
"Carson  Julia",1473,29720
"Carter  John R.",1752,20356
"Case  Ed",1693,20322
"Castle  Michael N.",183,29327
"Chabot  Steve",186,29550
"Chandler  Ben",1759,20326
"Chocola  Chris",1726,20324
"Christensen  Donna M.",1474,NA3
"Clay  Wm. Lacy",1654,20147
"Clyburn  James E.",208,39301
"Coble  Howard",211,15092
"Cole  Tom",1742,20344
"Collins  Mac",222,29340
"Combest  Larry",224,15093
"Conyers  John  Jr.",229,10713
"Cooper  Jim",231,15019
"Costello  Jerry F.",238,15453
"Cox  Christopher",242,15601
"Cramer  Robert E. (Bud)  Jr.",247,29100
"Crane  Philip M.",249,12041
"Crenshaw  Ander",1643,20111
"Crowley  Joseph",1604,29925
"Cubin  Barbara",254,29584
"Culberson  John Abney",1670,20139
"Cummings  Elijah E.",256,29587
"Cunningham  Randy (Duke)",258,29107
"Davis  Artur",1705,20302
"Davis  Danny K.",1477,29717
"Davis  Jim",1478,29714
"Davis  Jo Ann",1672,20141
"Davis  Lincoln",1747,20350
"Davis  Susan A.",1641,20108
"Davis  Tom",274,29576
"Deal  Nathan",277,99342
"DeFazio  Peter A.",279,15410
"DeGette  Diana",1479,29710
"Delahunt  William D.",1480,29731
"DeLauro  Rosa L.",281,29109
"DeLay  Tom",282,15094
"DeMint  Jim",1605,29936
"Deutsch  Peter",291,29335
"Diaz-Balart  Lincoln",294,29336
"Diaz-Balart  Mario",1717,20316
"Dicks  Norman D.",297,14413
"Dingell  John D.",299,2605
"Doggett  Lloyd",303,29571
"Dooley  Calvin M.",306,29105
"Doolittle  John T.",307,29104
"Doyle  Michael F.",316,29561
"Dreier  David",317,14813
"Duncan  John J.  Jr.",322,15455
"Dunn  Jennifer",324,39312
"Edwards  Chet",335,29144
"Ehlers  Vernon J.",339,29362
"Emanuel  Rahm",1725,20323
"Emerson  Jo Ann",1481,29736
"Engel  Eliot L.",344,15603
"English  Phil",347,29563
"Eshoo  Anna G.",355,29312
"Etheridge  Bob",1482,29745
"Evans  Lane",361,15023
"Everett  Terry",364,29300
"Faleomavaega  Eni F.H.",367,NA4
"Farr  Sam",368,29313
"Fattah  Chaka",371,29559
"Feeney  Tom",1716,20315
"Ferguson  Mike",1659,20127
"Filner  Bob",381,29325
"Flake  Jeff",1633,20100
"Fletcher  Ernie",1563,29917
"Foley  Mark",396,29510
"Forbes  J. Randy",1683,20143
"Ford  Harold E.  Jr.",1483,29756
"Fossella  Vito",1484,29773
"Frank  Barney",407,14824
"Franks  Trent",1707,20304
"Frelinghuysen  Rodney P.",414,29541
"Frost  Martin",419,14626
"Gallegly  Elton",425,15413
"Garrett  Scott",1737,20336
"Gephardt  Richard A.",433,14421
"Gerlach  Jim",1743,20345
"Gibbons  Jim",1485,29739
"Gilchrest  Wayne T.",438,29122
"Gillmor  Paul E.",439,15604
"Gingrey  Phil",1720,20319
"Gonzalez  Charles A.",1555,29943
"Goode  Virgil H.  Jr.",1486,89767
"Goodlatte  Bob",446,39308
"Gordon  Bart",448,15100
"Goss  Porter J.",450,15605
"Granger  Kay",1487,29762
"Graves  Sam",1656,20124
"Green  Gene",462,39304
"Green  Mark",1559,29941
"Greenwood  James C.",465,29397
"Grijalva  Raul M.",1708,20305
"Gutierrez  Luis V.",478,29348
"Gutknecht  Gil",479,29532
"Hall  Ralph M.",484,14828
"Harman  Jane",502,29318
"Harris  Katherine",1714,20314
"Hart  Melissa A.",1666,20133
"Hastert  J. Dennis",510,15417
"Hastings  Alcee L.",511,29337
"Hastings  Doc",512,29580
"Hayes  Robin",1600,29929
"Hayworth  J. D.",520,29502
"Hefley  Joel",524,15419
"Hensarling  Jeb",1749,20352
"Herger  Wally",533,15420
"Herseth  Stephanie",1760,20349
"Hill  Baron P.",1578,29914
"Hinchey  Maurice D.",541,29380
"Hinojosa  Ruben",1490,29763
"Hobson  David L.",545,29136
"Hoeffel  Joseph M.",1579,29934
"Hoekstra  Peter",547,29361
"Holden  Tim",550,29396
"Holt  Rush D.",1580,29923
"Honda  Michael M.",1634,20103
"Hooley  Darlene",1491,29750
"Hostettler  John N.",562,29520
"Houghton  Amo",563,15423
"Hoyer  Steny H.",566,14873
"Hulshof  Kenny C.",1492,29737
"Hunter  Duncan",575,14835
"Hyde  Henry J.",580,14239
"Inslee  Jay",584,29937
"Isakson  Johnny",1608,29909
"Israel  Steve",1663,20129
"Issa  Darrell E.",1640,20107
"Istook  Ernest J.  Jr.",586,29392
"Jackson  Jesse L.  Jr.",587,29585
"Jackson-Lee  Sheila",588,29573
"Janklow  William J.",1746,20348
"Jefferson  William J.",592,29120
"Jenkins  William L.",1494,29755
"John  Christopher",1495,29727
"Johnson  Eddie Bernice",599,39305
"Johnson  Nancy L.",602,15028
"Johnson  Sam",603,29143
"Johnson  Timothy V.",1648,20116
"Jones  Stephanie Tubbs",1581,29930
"Jones  Walter B.  Jr.",612,29546
"Kanjorski  Paul E.",615,15104
"Kaptur  Marcy",616,15029
"Keller  Ric",1644,20112
"Kelly  Sue W.",624,29544
"Kennedy  Mark R.",1652,20121
"Kennedy  Patrick J.",627,29564
"Kildee  Dale E.",631,14430
"Kilpatrick  Carolyn C.",1497,29733
"Kind  Ron",1498,29769
"King  Peter T.",635,29375
"King  Steve",1724,20325
"Kingston  Jack",636,29338
"Kirk  Mark Steven",1647,20115
"Kleczka  Gerald D.",637,15082
"Kline  John",1733,20333
"Knollenberg  Joe",642,29365
"Kolbe  Jim",645,15105
"Kucinich  Dennis J.",1499,29748
"LaHood  Ray",659,29517
"Lampson  Nick",1500,29761
"Langevin  James R.",1668,20136
"Lantos  Tom",663,14837
"Larsen  Rick",1675,20145
"Larson  John B.",1583,29908
"Latham  Tom",666,29522
"LaTourette  Steven C.",667,29553
"Leach  James A.",672,14432
"Lee  Barbara",1501,29778
"Levin  Sander M.",683,15033
"Lewis  Jerry",687,14644
"Lewis  John",688,15431
"Lewis  Ron",689,29352
"Linder  John",693,29341
"Lipinski  William O.",694,15036
"LoBiondo  Frank A.",699,29539
"Lofgren  Zoe",701,29504
"Lowey  Nita M.",709,15612
"Lucas  Frank D.",711,29393
"Lucas  Ken",1562,29916
"Lynch  Stephen F.",1686,20119
"Majette  Denise L.",1719,20318
"Maloney  Carolyn B.",729,29379
"Manzullo  Donald A.",733,29349
"Markey  Edward J.",735,14435
"Marshall  Jim",1718,20317
"Matheson  Jim",1671,20140
"Matsui  Robert T.",748,14649
"McCarthy  Carolyn",1503,29744
"McCarthy  Karen",756,29535
"McCollum  Betty",1653,20122
"McCotter  Thaddeus G.",1732,20332
"McCrery  Jim",763,15451
"McDermott  Jim",766,15613
"McGovern  James P.",1504,29729
"McHugh  John M.",773,39316
"McInnis  Scott",775,29326
"McIntyre  Mike",1505,29746
"McKeon  Howard P. Buck",778,29315
"McNulty  Michael R.",785,15614
"Meehan  Martin T.",788,29358
"Meek  Kendrick B.",1715,29999
"Meeks  Gregory W.",1506,29776
"Menendez  Robert",791,29373
"Mica  John L.",800,29331
"Michaud  Michael H.",1730,20328
"Millender-McDonald  Juanita",805,29586
"Miller  Brad",1735,20341
"Miller  Candice S.",1731,20331
"Miller  Gary G.",1584,29905
"Miller  George",808,14256
"Miller  Jeff",1685,20110
"Mollohan  Alan B.",824,15083
"Moore  Dennis",1561,29915
"Moran  James P.",832,29149
"Moran  Jerry",1507,29722
"Murphy  Tim",1744,20346
"Murtha  John P.",844,14072
"Musgrave  Marilyn N.",1711,20311
"Myrick  Sue Wilkins",849,29549
"Nadler  Jerrold",850,29377
"Napolitano  Grace F.",1602,29903
"Neal  Richard E.",854,15616
"Nethercutt  George R.  Jr.",860,29581
"Neugebauer  Randy",1758,20353
"Ney  Robert W.",862,29552
"Northup  Anne M.",1508,29725
"Norton  Eleanor Holmes",868,NA5
"Norwood  Charles W.",869,29513
"Nunes  Devin",1710,20307
"Nussle  Jim",871,29118
"Oberstar  James L.",876,14265
"Obey  David R.",877,12036
"Olver  John W.",879,29123
"Ortiz  Solomon P.",880,15049
"Osborne  Tom",1658,20126
"Ose  Doug",1585,29902
"Otter  C. L. (Butch)",1646,20114
"Owens  Major R.",883,15050
"Oxley  Michael G.",885,14875
"Pallone  Frank  Jr.",887,15454
"Pascrell  Bill  Jr.",1510,29741
"Pastor  Ed",893,29101
"Paul  Ron",900,14290
"Payne  Donald M.",902,15619
"Pearce  Stevan",1738,20337
"Pelosi  Nancy",905,15448
"Pence  Mike",1649,20117
"Peterson  Collin C.",910,29127
"Peterson  John E.",1512,29751
"Petri  Thomas E.",912,14675
"Pickering  Charles W. Chip",1513,29734
"Pitts  Joseph R.",1514,29752
"Platts  Todd Russell",1667,20135
"Pombo  Richard W.",921,29311
"Pomeroy  Earl",922,29384
"Porter  Jon C.",1739,20334
"Portman  Rob",924,29386
"Price  David E.",930,15438
